user_id,tier,ltv
Slots|Facebook|1325585271,10,"1,408,818.30"
Slots|Facebook|718492132,10,"1,184,187.60"
Slots|Apple|675F7CB7-27F6-4F40-9E00-D9CFB4A236D3,10,"1,012,381.81"
Slots|Facebook|1456913178,10,"651,857.44"
Slots|Facebook|1653264829,9,"626,129.41"
Slots|Apple|4D152BF8-C58E-4E0C-AF8A-0F53325284B8,10,"518,670.73"
Slots|Facebook|696326080,10,"503,499.07"
Slots|Apple|363549478f32834be7b79dd5fce6d844,9,"365,678.30"
Slots|Facebook|1717321180,10,"351,678.96"
Slots|Facebook|1471312760,9,"298,165.74"
Slots|Apple|7C9D48C5-0B49-4EE9-BB8E-DE336AED1034,9,"288,826.83"
Slots|Apple|0B2DDF6C-9FAA-482E-92CE-8C19DCF36559,9,"277,017.77"
Slots|Facebook|100000127900998,9,"264,124.47"
Slots|Facebook|745492669,10,"259,038"
Slots|Apple|15D150D2-567C-48E8-9413-8CEEC5FB9772,9,"247,532.69"
Slots|Facebook|1439672751,9,"245,100.69"
Slots|Facebook|1021543838,9,"240,572.83"
Slots|Facebook|100000175843155,9,"237,306.29"
Slots|Facebook|100000430855799,10,"236,756.14"
Slots|Apple|4E1FE5A7-029C-4740-8656-E7723A66A5B8,9,"195,262.21"
Slots|Apple|4AD26495-2A6D-4DAB-A2C6-D327766FE9AE,9,"193,792.08"
Slots|Gamesys|richard.curtis.bent@outlook.com,9,"189,220.95"
Slots|Facebook|100000560172985,9,"189,181.73"
Slots|Gamesys|tamilcollins@icloud.com,9,"188,626.02"
Slots|Facebook|1585192985,9,"186,452.07"
Slots|Facebook|745492669,10,"175,257.59"
Slots|Facebook|100005907316951,9,"171,208.81"
Slots|Apple|23e73d4a43927e127ad2e80e15f2ed5d,9,"166,629.62"
Slots|Facebook|843239867,9,"161,814.98"
Slots|Apple|92b858339b6197e7f60639c1fe49f01c,9,"157,677.04"
Slots|Facebook|100007012302068,9,"155,954.55"
Slots|Apple|fe7201a27d6c8c1d036ff134e8f4c645,8,"154,075.59"
Slots|Apple|527b67d811c6870a4ea259860c44d8e5,9,"151,892.29"
Slots|Apple|5B0249A2-FD41-4C87-AFC6-33CC76774E88,9,"138,742.30"
Slots|Facebook|100000358440205,9,"137,459.58"
Slots|Facebook|100002733326332,9,"131,324.75"
Slots|Facebook|1424680008,9,"130,891.39"
Slots|Facebook|100000264405256,9,"130,203.83"
Slots|Facebook|1086291059,9,"124,474.93"
Slots|Apple|8A9CF5DE-5C17-4524-920B-D56B1F73FD15,9,"118,198.65"
Slots|Facebook|1478554860,8,"117,416.85"
Slots|Facebook|1652962652,8,"114,584.28"
Slots|Facebook|1081050591,9,"113,748.06"
Slots|Apple|f49157185a752d53093fa5d1bd51572f,8,"112,354.45"
Slots|Facebook|100000643141520,9,"107,769.27"
Slots|Facebook|1266923512,9,"107,154.72"
Slots|Facebook|100000364608476,8,"106,573.35"
Slots|Facebook|1484253040,9,"106,005"
Slots|Android|12c3a2e8569c31d,9,"104,931.36"
Slots|Apple|6C7B5B4B-A946-45E5-9785-143B0C153219,8,"102,815.17"
Slots|Apple|1471C62F-42FB-4764-85E2-847B2439EC69,8,"101,861.10"
Slots|Facebook|100000084923868,9,"101,020"
Slots|Facebook|100001598221304,9,"97,640"
