user_id,tier,comfort_zone_med,cz_group,bet_habit,spins_habit,spin_habit_group,weekly_play_days,bet_habit_group,bets_habit,daily_wager_group,ltv
Slots|Android|ab2f0067b5d5d21e,0,0,1,0,0,1,0,1,0,1,0
Slots|Apple|A590A396-F2F2-4ECF-89CC-06B05BB12852,1,0,1,"64,122,000",301,9,2,5,"205,000",8,125.78
Slots|Facebook|100001412815405,0,0,1,"36,468,214",75,4,4.27,5,"421,071",7,0
Slots|Android|c805049e41d9258d,0,0,1,0,0,1,2,1,0,1,0
Slots|Android|af53dad7cfb5ee7b,0,0,1,"165,500",353,9,3.5,1,500,3,0
Slots|Android|78b057633e99bd56,0,0,1,"29,534,464",103,6,4.2,5,"216,607",7,0
Slots|Apple|682B0AF3-AF9D-458D-BA11-90C5A7F48E47,0,0,1,"40,260",91,5,2.52,1,500,2,0
Slots|Android|d0e4036d2d788b1a,0,0,1,"29,757,890",294,8,3.89,5,"148,000",7,0
Slots|Facebook|645307539,1,9.99,3,"1,559,616,071",420,10,6.87,7,"4,000,000",11,54.95
Slots|Facebook|862115167184767,2,0,1,"34,783,333",42,3,2,6,"633,333",7,601.14
Slots|Android|845b79e05011bf61,0,0,1,0,0,1,0,1,0,1,0
Slots|Android|fdff1e6cae518017,0,0,1,0,0,1,0,1,0,1,0
Slots|Apple|53D096D6-5C71-44DC-BCEF-31E7C3B1682B,0,0,1,"19,150,125",192,7,4.6,4,"92,500",7,0
Slots|Apple|1E534344-0B06-4074-B704-511F36C600A4,0,0,1,0,0,1,0,1,0,1,0
Slots|Android|774f4defe87ef63f,0,0,1,"30,293,571",197,7,2.3,5,"140,178",7,0
Slots|Facebook|100000962319777,0,0,1,"46,907,678",144,6,4.2,5,"213,535",7,0
Slots|Android|8983a8faaffacf43,0,0,1,"131,836,809",382,9,3.82,5,"307,380",9,0
Slots|Android|9f1c0f645411a524,0,0,1,"116,098,400",607,11,7,4,"57,500",9,0
Slots|Apple|EFA95BDE-1999-4DCB-B058-4D1047C5B716,0,0,1,"23,744,914",97,5,3.05,5,"255,200",7,0
Slots|Apple|826551D0-8462-4909-A11C-AFC5FE23495A,0,0,1,"272,261,964","1,692",13,6.2,5,"160,714",9,0
Slots|Apple|AABDDDC2-204B-48ED-B1AC-51C29AC40E84,0,0,1,"78,821,428",263,8,6.8,5,"376,428",8,0
Slots|Android|52c818c843726261,0,0,1,"36,528,250",345,9,3.04,5,"143,928",7,0
Slots|Android|ae656bc49f095fd9,0,0,1,0,0,1,2,1,0,1,0
Slots|Facebook|100001626288537,0,0,1,"15,598,750",422,10,2.24,3,"29,553",7,0
Slots|Facebook|100000289975249,0,0,1,"8,998,928",64,4,2,5,"135,000",6,0
Slots|Facebook|100001662265610,0,0,1,"5,419,285",44,3,7,5,"127,500",6,0
Slots|Facebook|1094247650,0,0,1,"1,220,666,071",707,12,6.8,7,"1,875,000",11,0
Slots|Facebook|1014993002,2,0,1,"120,921,250",195,7,2,6,"640,000",9,419.98
Slots|Facebook|100003071034106,4,8.79,3,"2,147,483,647","1,271",13,7,7,"4,469,642",12,"3,115.91"
Slots|Apple|C5D60924-BDD4-4CA2-AFAE-904BC6FFCA9F_1,0,0,1,"26,437,960","1,652",13,6.4,3,"15,392",7,0
Slots|Facebook|100001637526923,0,0,1,"29,503,946",302,9,5.25,4,"58,566",7,5.98
Slots|Facebook|625401332,0,0,1,"15,632,678",49,3,2,5,"300,982",7,0
Slots|Facebook|100000068483520,0,0,1,"109,050,000",499,10,2,5,"200,000",9,0
Slots|Apple|F9A66E82-78F7-4949-B6B1-7569D0DF3ABA,0,0,1,0,0,1,0,1,0,1,0
Slots|Facebook|100000228773932,0,0,1,"22,794,285",131,6,2.28,5,"180,714",7,0
Slots|Apple|BAA1936C-0F4C-45C0-AF7D-6A74A3261065,0,0,1,"52,705,714",115,6,7,5,"440,357",8,0
Slots|Apple|50867809-FA12-499D-9E3A-109461565A1C,0,0,1,0,0,1,0,1,0,1,0
Slots|Android|18d7ae8722e99ca1,1,4.99,2,"270,027,833","1,841",13,2,5,"163,333",9,33.94
Slots|Apple|d1c2a4d1075242bc101c7455c355268d,0,0,1,"23,400,000",70,4,2,5,"360,000",7,0
Slots|Apple|86DD13A1-F493-4169-B94C-CF27FFE372F8,0,0,1,"25,679,464",126,6,5.5,5,"250,892",7,0
Slots|Android|a4031a2af109344d,0,0,1,0,0,1,0,1,0,1,0
Slots|Facebook|100003798437381,4,99.99,8,"2,147,483,647","1,691",13,6.6,7,"4,853,571",12,"3,904.98"
Slots|Apple|3E990C0F-E149-4A33-9F5F-531B2B284300,2,1.99,2,0,0,1,0,1,0,1,134.85
Slots|Gamesys|gennadiy.volkodav@gmail.com,0,0,1,"748,107",691,11,5.5,2,"1,014",4,0
Slots|Android|f9c2d58263f0a027,0,0,1,"50,267,421",662,11,6,3,"42,142",8,0
Slots|Facebook|100001993827117,0,0,1,0,0,1,0,1,0,1,0
Slots|Gamesys|dianebennetts@sbcglobal.net,0,0,1,"276,686,964",206,8,7,5,"456,964",9,0
Slots|Facebook|1066509024,2,4.99,2,"113,899,553",148,6,2.4,7,"1,576,785",9,191.73
Slots|Apple|D220E9E5-26E8-4168-94BB-4D68C8AE7515,0,0,1,"56,664,642",261,8,5.2,5,"240,000",8,0
Slots|Facebook|100004131391869,2,5,2,"250,700,000",88,5,3.5,7,"2,261,904",9,791
Slots|Facebook|100001814563531,0,0,1,"488,103,571",337,9,3.8,7,"1,741,071",9,0
Slots|Android|1561ad93b03f4896,0,0,1,"12,572,416",640,11,0,3,"21,416",7,0
Slots|Android|1def9382f5e612e8,0,0,1,0,0,1,0,1,0,1,0
Slots|Android|794bdce30a22afd9,0,0,1,"92,957,850",174,7,3.5,5,"365,000",8,0
Slots|Facebook|100000256608249,0,0,1,"124,874,642",496,10,4.8,5,"248,571",9,0
Slots|Apple|62ABC863-A984-4AEE-978E-525BD2E3764F,0,0,1,"44,708,750",695,11,2,4,"65,250",7,0
Slots|Facebook|1068398315,2,2.99,2,"47,493,201","1,170",13,6.87,3,"36,035",7,986.27
Slots|Android|07f4104062068bb6,0,0,1,"316,713,821","1,000",[NULL],6.7,5,"278,571",9,0
Slots|Facebook|100001415834405,0,0,1,"154,790,476",113,6,2.34,7,"1,321,428",9,0
Slots|Android|badf922532b84dae,0,0,1,"1,529,115",221,8,2,2,"4,200",5,0
Slots|Facebook|1541331268,0,0,1,"476,413,392",442,10,4.7,7,"1,001,785",9,0
Slots|Android|7824e975b8c339bc_1,0,0,1,"37,576,728",159,7,4.41,4,"87,642",7,0
Slots|Android|89b6eb7d7c7287f1,0,0,1,0,0,1,0,1,0,1,0
Slots|Facebook|100003257697504,0,0,1,0,0,1,0,1,0,1,0
Slots|Facebook|1007705807,0,0,1,"62,810,271",337,9,6.3,5,"194,642",8,0
Slots|Apple|A6C920FF-C7E3-4DE0-9FFF-5091252E50BE,0,0,1,0,0,1,0,1,0,1,0
Slots|Facebook|100004554390512,0,0,1,"12,520,000",50,3,2,5,"330,000",7,0
Slots|Facebook|1640330411,0,0,1,"70,893,333",126,6,2,6,"660,000",8,0
Slots|Android|b1ee945a87eb1527,0,0,1,0,0,1,0,1,0,1,0
Slots|Apple|88DDAA81-DF6F-487F-BF92-8DE72B2A3F94,0,0,1,"15,663,600","1,449",13,2,3,"12,000",7,0
Slots|Android|e64b1c90b487d336,0,0,1,0,0,1,0,1,0,1,0
Slots|Apple|151FE9C3-1575-4BE2-BC02-9BE8992FA4BD_1,0,0,1,"21,541,307",134,6,5.7,5,"112,321",7,0
Slots|Android|954d54cee7b1eb90,0,0,1,"9,920,685",111,6,5.25,4,"82,914",6,0
Slots|Facebook|647478114,0,0,1,"8,164,642",41,3,2.08,5,"162,500",6,0
Slots|Apple|0903C53D-4093-4DA0-800C-4952DA7399BF,0,0,1,"176,239,375",565,11,6.7,5,"288,750",9,0.99
Slots|Android|e7cd07990fd37fe0,0,0,1,0,0,1,0,1,0,1,0
Slots|Apple|EED31D86-A607-4196-AD7D-663151C39FAD,0,0,1,"12,687,285",256,8,5.3,4,"51,714",7,0
Slots|Facebook|100000271192428,0,0,1,"3,680,882",448,10,3.71,2,"7,910",5,0
Slots|Android|8cdd039e48cb8ca0,0,0,1,"13,456,083",550,11,7,3,"36,666",7,0
Slots|Facebook|1065737560106434,0,0,1,"1,681,214,285",213,8,4.74,8,"8,785,714",11,0
Slots|Facebook|1149451536,0,0,1,"276,300,000",127,6,2,7,"1,800,000",9,0
Slots|Facebook|100000445095339,0,0,1,"43,200",50,3,2,2,"1,200",2,0
Slots|Apple|C1A4EC47-0312-48AE-AC4B-C86F5EAC3313,0,0,1,"2,147,483,647",355,9,2.14,7,"3,267,857",12,0
Slots|Gamesys|cyochick@yahoo.com,0,0,1,"16,785,500",685,11,2,3,"30,800",7,0
Slots|Facebook|100002454798855,0,0,1,"81,326,428",253,8,3.6,5,"381,071",8,0
Slots|Facebook|1317580814,0,0,1,"114,403,571",286,8,3,5,"375,714",9,0
Slots|Android|4b83d79fc0908a55_1,0,0,1,"43,937,142",67,4,5.5,5,"373,214",7,0
Slots|Facebook|100001695801792,0,0,1,"39,500,000",79,4,2,6,"500,000",7,0
Slots|Apple|847AF099-44C0-422B-93DD-8077D2947A38,0,0,1,"76,725,214",113,6,3.22,6,"841,428",8,0
Slots|Apple|BFF3B25D-130C-4CF5-9D3C-230F9975A3CE,0,0,1,"1,003,020,000",434,10,2,7,"1,600,000",11,0
Slots|Android|bee3d1c94b2b3b98,0,0,1,"136,991,766","1,319",13,2.8,5,"120,000",9,0
Slots|Facebook|100000554913886,0,0,1,"43,507,500",374,9,6,5,"113,392",7,0
Slots|Facebook|1545085636,1,0,1,"1,925,213,035","2,014",13,7,7,"1,069,285",11,34.94
Slots|Apple|00977c7e95e3e505fd14c78747485b53_1,0,0,1,"418,937,382",640,11,4.1,6,"522,857",9,0
Slots|Facebook|103969564514067,0,0,1,"45,961,321",323,9,6.7,5,"123,214",7,0
Slots|Apple|f1d033597db53f00eb8142964a745f23_2,0,0,1,"10,030,750",38,2,5.09,5,"215,714",7,0
Slots|Facebook|100000240990553,4,2.99,2,"2,147,483,647",688,11,6.3,7,"3,296,428",12,"6,126.47"
Slots|Facebook|1059676335,0,0,1,"14,918,700",55,3,2,5,"192,350",7,0
Slots|Apple|127BF8BE-35A2-46E2-8C60-956A179D6F20,0,0,1,0,0,1,0,1,0,1,0
Slots|Apple|2178CE4F-A7DD-41EA-9798-0E2DD31C903C,0,0,1,"10,619,642",25,2,2.7,5,"396,428",7,0
Slots|Facebook|100001646657495,2,0,1,"1,138,800",126,6,2,3,"10,000",5,73.97
Slots|Android|2f3f8a00a536f0c2,0,0,1,0,0,1,0,1,0,1,0
Slots|Facebook|100001566591319,0,0,1,"55,660,000",109,6,0,6,"535,000",8,0
Slots|Facebook|1304803256375814,0,0,1,"53,888,550","1,070",13,2,4,"50,000",8,0
Slots|Android|e8d419888de1911a,0,0,1,"71,526,633",245,8,5.83,5,"206,666",8,0
Slots|Facebook|100004595382150,0,0,1,"942,547,500",473,10,2,7,"1,940,833",10,0
Slots|Apple|D4B8226C-5A51-402A-977E-5B8E6AF2DB17,0,0,1,"48,786,410",705,12,6.2,4,"77,750",7,0
Slots|Android|d41a7a38790f621a,0,0,1,0,0,1,0,1,0,1,0
Slots|Facebook|100000987810160,0,0,1,0,0,1,0,1,0,1,0
Slots|Facebook|100000291067321,2,0,1,"210,535,714",255,8,5.08,7,"1,071,428",9,139.98
Slots|Android|4f09588c1c29ff4,0,0,1,"64,800",34,2,0,2,"2,400",2,0
Slots|Facebook|100005456291158,0,0,1,"1,213,444,985","1,317",13,2.4,6,"833,928",11,0
Slots|Facebook|100003624934484,0,0,1,"12,044,000",53,3,2,5,"232,000",7,0
Slots|Android|9f1bb5100fb56a00_1,0,0,1,"541,646,964",701,12,2.6,5,"422,857",10,0
Slots|Android|7cdb01f76df6aab4,2,0,1,"1,628,000,000",922,12,7,7,"2,000,000",11,158.82
Slots|Android|4cf44630a4439665_1,1,1.99,2,"58,209,642",123,6,7,5,"235,714",8,14.96
Slots|Android|1196dc1dd1733aab,1,5.99,2,"342,147,821","1,493",13,2.26,4,"82,142",9,13.97
Slots|Facebook|100000168981059,0,0,1,"137,982,857",269,8,6.67,6,"526,071",9,0
Slots|Facebook|100001782804798,2,0,1,"215,833,333",97,5,2,6,"833,333",9,266
Slots|Apple|9A490DCC-21B4-49E5-8DED-BF4E82C615B6,0,0,1,0,0,1,0,1,0,1,1.99
Slots|Android|eebf6c69566d0d0b,0,0,1,"37,368,928",394,9,6.6,4,"98,214",7,0
Slots|Apple|28731AE0-F697-4838-BAB4-A0D3A087E95D,0,0,1,"2,698,375",106,6,5.4,3,"29,375",5,0
Slots|Facebook|100003123507540,0,0,1,"79,493,333",162,7,2,5,"266,666",8,0
Slots|Facebook|1735405542,0,0,1,"361,339,732","1,685",13,7,5,"237,321",9,0
Slots|Facebook|1147020710,0,0,1,"268,540,000",317,9,2,6,"800,000",9,0
Slots|Apple|076AEC1F-4948-4621-BB14-FDD7D4B2DE77,0,0,1,"11,365,635",101,6,2.15,3,"22,800",7,0
Slots|Android|f5f1824bc1177c18,0,0,1,0,0,1,0,1,0,1,0
Slots|Facebook|1263712826,0,0,1,"49,437,500",45,3,2,7,"1,166,071",7,0
Slots|Facebook|10200365634379329,0,0,1,"137,527,142",400,10,7,5,"390,714",9,0
Slots|Facebook|100000766675402,0,0,1,"234,051,904",223,8,2,6,"600,476",9,0
Slots|Apple|7619AD15-157B-4CCD-A50D-93447731084C,0,0,1,"809,950","1,697",13,3.5,1,450,4,0
Slots|Facebook|100001166141446,2,0,1,"11,505,892",40,3,2.9,5,"312,946",7,672.85
Slots|Apple|C93DDC01-0625-4028-B918-B3E13D60EEB3,0,0,1,"181,932,142",516,11,7,5,"335,714",9,0
Slots|Facebook|100004972749730,3,19.99,4,"2,147,483,647",400,10,2.99,9,"16,250,000",12,"1,170.97"
Slots|Facebook|100000702461580,2,4.99,2,"323,858,214",242,8,4.68,7,"1,232,142",9,639.84
Slots|Facebook|100002921049578,0,0,1,"152,890,000",369,9,6,5,"417,857",9,0
Slots|Apple|DB3C0B2E-85DA-4055-AC22-3E98B1ED862A,0,0,1,0,0,1,0,1,0,1,0
Slots|Facebook|100001879032558,0,0,1,"1,872,117",594,11,2.9,2,"1,092",5,0
Slots|Facebook|1740965061,0,0,1,0,0,1,0,1,0,1,0
Slots|Facebook|1129725170,0,0,1,"196,393,500",280,8,2.8,6,"739,285",9,0
Slots|Android|eed30276d21d07b3,0,0,1,"284,231,428",785,12,4.4,5,"346,428",9,0
Slots|Android|0efb433935007557,0,0,1,"11,182,373",494,10,4.38,3,"31,213",7,0
Slots|Facebook|508407713,2,3.29,2,"124,698,257",261,8,3.61,5,"377,678",9,465.97
Slots|Android|16d63cafed7030e7,0,0,1,"23,041,732","1,478",13,5.6,3,"16,875",7,0
Slots|Facebook|100000654280998,0,0,1,"111,074,266",114,6,2,6,"848,266",9,0
Slots|Apple|8F17F4E5-8252-4F07-97E0-486C621C79A8,0,0,1,0,0,1,0,1,0,1,0
Slots|Gamesys|tanzaniaw51275@yahoo.com,0,0,1,"189,000,000",210,8,2,6,"900,000",9,0
Slots|Facebook|100007062282914,0,0,1,"1,854,071",77,4,4.69,3,"25,214",5,0
Slots|Facebook|1839191900,0,0,1,"981,455,357",604,11,6.6,7,"1,521,428",10,0
Slots|Facebook|100003388592327,0,0,1,"140,053,571",332,9,3.4,6,"500,000",9,0
Slots|Android|38def8f0ebcb7508,0,0,1,"5,199,338",375,9,2,3,"17,547",6,0
Slots|Android|bf2ebff81d4230b6,0,0,1,"470,833",50,3,2.8,3,"21,750",3,0
Slots|Facebook|1134325657,4,3.99,2,"804,234,428",329,9,6.7,6,"935,892",10,"9,620.18"
Slots|Facebook|100003924500991,0,0,1,0,0,1,0,1,0,1,0
Slots|Android|e535414ca4124095,0,0,1,"211,353,035",186,7,4.3,7,"1,558,928",9,0
Slots|Apple|34902B58-6556-4634-BDF5-8914395C1845,1,1.99,2,"4,032,364",452,10,5,2,"8,850",5,12.96
Slots|Android|58425b0bdc6e3508,0,0,1,0,0,1,0,1,0,1,0
Slots|Apple|4BAC0882-76BE-4D38-BA01-FBFF632A1061,1,0,1,"551,168,928",541,11,7,6,"588,214",10,18.96
Slots|Facebook|1176526636,2,5.99,2,"31,431,428",67,4,2,5,"446,428",7,259.99
Slots|Android|a71851da09cbd19c,0,0,1,"51,636,400",290,8,2,4,"70,166",8,0
Slots|Apple|3772116F-893F-40F7-9069-98016380FE8F_1,2,0,1,"127,944,000",110,6,2,6,"680,000",9,489.52
Slots|Apple|19f188342b61f6f46676339ce26bd331,0,0,1,"8,786,357",187,7,2.69,3,"45,642",6,0
Slots|Facebook|1024661643,4,20,4,"23,792,857",115,6,5.2,5,"235,714",7,"2,760"
Slots|Android|484f3606585e2da7,0,0,1,"100,617,500",109,6,3.71,5,"385,357",9,0
